Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CASS,Cass Information Systems Inc Common Stock,$45.70,-0.65,-1.402%,657927316.00,United States,,11082,Miscellaneous,Business Services
CATM,Cardtronics plc Class A Ordinary Shares (UK),$38.82,0.02,0.052%,1756761251.00,United States,2007,212303,Miscellaneous,Business Services
CBZ,CBIZ Inc. Common Stock,$33.42,-0.28,-0.831%,1791372423.00,United States,,35363,Miscellaneous,Business Services
CNDT,Conduent Incorporated Common Stock ,$6.77,-0.28,-3.972%,1437870957.00,United States,,541221,Miscellaneous,Business Services
CRAI,CRA International Inc. Common Stock,$75.74,-0.70,-0.916%,579064868.00,United States,1998,29466,Miscellaneous,Other Consumer Services
DBD,Diebold Nixdorf Incorporated Common Stock,$13.5136,-0.4364,-3.128%,1056471491.00,United States,,178930,Miscellaneous,Office Equipment/Supplies/Services
DMS,Digital Media Solutions Inc. Class A Ordinary Shares,$11.47,0.49,4.463%,702894940.00,United States,2018,26211,Miscellaneous,Business Services
EEX,Emerald Holding Inc. Common Stock,$5.10,-0.21,-3.955%,368595227.00,United States,2017,40367,Miscellaneous,Business Services
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,$14.04,-0.30,-2.092%,727289676.00,United States,,421704,Miscellaneous,Industrial Machinery/Components
EVOP,EVO Payments Inc. Class A Common Stock,$28.855,0.235,0.821%,1196740147.00,United States,2018,87245,Miscellaneous,Business Services
EXPC,Experience Investment Corp. Class A Common Stock,$9.965,-0.005,-0.05%,342546875.00,United States,2019,991436,Miscellaneous,Business Services
FRG,Franchise Group Inc. Common Stock,$37.115,-0.255,-0.682%,1490430841.00,United States,,46484,Miscellaneous,Multi-Sector Companies
GPRO,GoPro Inc. Class A Common Stock,$10.89,-0.48,-4.222%,1650049206.00,United States,2014,2565046,Miscellaneous,Industrial Machinery/Components
GSKY,GreenSky Inc. Class A Common Stock,$5.795,-0.495,-7.87%,1060333258.00,United States,2018,684123,Miscellaneous,Business Services
IIIV,i3 Verticals Inc. Class A Common Stock,$33.16,-0.60,-1.777%,1064966693.00,United States,2018,31681,Miscellaneous,Business Services
IMXI,International Money Express Inc. Common Stock,$14.5806,-0.2894,-1.946%,557243645.00,United States,2017,28856,Miscellaneous,Business Services
JYNT,The Joint Corp. Common Stock,$52.74,0.27,0.515%,745737851.00,United States,2014,43906,Miscellaneous,Multi-Sector Companies
KODK,Eastman Kodak Company Common New,$7.2005,-0.2195,-2.958%,565264279.00,United States,,1354223,Miscellaneous,Industrial Machinery/Components
LLNW,Limelight Networks Inc. Common Stock,$3.57,0.03,0.847%,443162000.00,United States,2007,1387884,Miscellaneous,Business Services
LQDT,Liquidity Services Inc. Common Stock,$17.23,-0.54,-3.039%,601731078.00,United States,2006,62495,Miscellaneous,Business Services
MGI,Moneygram International Inc. Common Stock,$6.915,-0.085,-1.214%,542630298.00,United States,,585680,Miscellaneous,Business Services
OPRX,OptimizeRx Corporation Common Stock,$49.84,-1.77,-3.43%,837642788.00,United States,,104418,Miscellaneous,Business Services
PAR,PAR Technology Corporation Common Stock,$76.93,-3.40,-4.233%,1993199526.00,United States,,371044,Miscellaneous,Office Equipment/Supplies/Services
PAYA,Paya Holdings Inc. Class A Common Stock,$11.10,-0.27,-2.375%,1406341595.00,United States,,421794,Miscellaneous,Business Services
PBI,Pitney Bowes Inc. Common Stock,$8.0801,-0.3199,-3.808%,1403264261.00,United States,,573517,Miscellaneous,Office Equipment/Supplies/Services
PRTH,Priority Technology Holdings Inc. Common Stock,$6.79,-0.17,-2.443%,459258679.00,United States,2016,18358,Miscellaneous,Business Services
QNST,QuinStreet Inc. Common Stock,$19.69,-0.51,-2.525%,1049408105.00,United States,2010,61956,Miscellaneous,Business Services
RGP,Resources Connection Inc. Common Stock,$14.07,-0.48,-3.299%,461819920.00,United States,,67213,Miscellaneous,Business Services
RILY,B. Riley Financial Inc. Common Stock,$71.395,-0.745,-1.033%,1941308013.00,United States,,279552,Miscellaneous,Business Services
RMNI,Rimini Street Inc. (DE) Common Stock,$8.21,-0.16,-1.912%,697483350.00,United States,2015,157632,Miscellaneous,Business Services
RPAY,Repay Holdings Corporation Class A Common Stock,$23.985,0.125,0.524%,1931431460.00,United States,2018,426984,Miscellaneous,Business Services
RRD,R.R. Donnelley & Sons Company Common Stock,$5.10,0.42,8.974%,368090394.00,United States,,2747500,Miscellaneous,Publishing
STPK,Star Peak Energy Transition Corp. Class A Common Stock,$24.13,-2.10,-8.006%,1156988377.00,United States,2020,1680975,Miscellaneous,Industrial Machinery/Components
THCB,Tuscan Holdings Corp. Common Stock,$11.08,0.06,0.544%,393160526.00,United States,2019,712441,Miscellaneous,Industrial Machinery/Components
TRHC,Tabula Rasa HealthCare Inc. Common Stock,$42.75,-1.28,-2.907%,1055175122.00,United States,2016,71601,Miscellaneous,Business Services
VHC,VirnetX Holding Corp Common Stock,$4.71,-0.24,-4.848%,334685865.00,United States,,244832,Miscellaneous,Multi-Sector Companies
VVI,Viad Corp Common Stock,$40.12,-0.34,-0.84%,821582174.00,United States,,26205,Miscellaneous,Business Services
